א.ב	ʔˈ.vˈ	["abbr"]
א.ב.א	ʔˈ.vˈ.ʔˈ	["abbr"]
א.ג	ʔˈ.ɡˈ	["abbr"]
א.ד	ʔˈ.dˈ	["abbr"]
או.אר.אס	ʔˈo.ʔˈaʁ.ʔˈes	["abbr"]
או.קיי	ʔˈo.kˈej	["abbr","slang"]
אי.די.בי	ʔˈaj.dˈaj.bˈi	["abbr","company"]
אי.טי	ʔˈej.tˈi	["abbr","tech"]
איי.די.בי	ʔˈaj.dˈaj.bˈi	["abbr","company"]
איי.די.בי	ʔˈej.dˈaj.bˈi	["abbr","company"]
איי.קיו	ʔˈaj.kjˈu	["abbr","test"]
אל.אס.די	ʔˈal.ʔˈes.dˈaj	["abbr","drug"]
אם.איי	ʔˈem.ʔˈej	["abbr"]
אם.אם.אס	ʔˈem.ʔˈem.ʔˈes	["abbr"]
אס.או.אס	ʔˈes.ʔˈo.ʔˈes	["abbr"]
אס.אם	ʔˈas.ʔˈem	["abbr"]
אס.אם	ʔˈes.ʔˈem	["abbr"]
אס.אם.אס	ʔˈes.ʔˈem.ʔˈes	["abbr","textmessage"]
אס.אם.אסים	ʔˈas.ʔˈem.ʔˈasim	["abbr"]
אס.אם.אסים	ʔˈes.ʔˈem.ʔˈasim	["abbr"]
אס.אס	ʔˈes.ʔˈes	["abbr"]
באיי.די.בי	beʔˈa.dˈaj.bˈi	["abbr","company"]
באי.מייל	baʔˈi.mˈejl	["abbr","email"]
באס.אם.אסים	baʔˈas.ʔˈem.ʔˈasim	["abbr"]
באס.אם.אסים	beʔˈas.ʔˈem.ʔˈasim	["abbr"]
באס.אס	baʔˈas.ʔˈes	["abbr"]
באס.אס	beʔˈas.ʔˈes	["abbr"]
באס.אס	beʔˈes.ʔˈes	["abbr"]
בב.מ.וו	bˈav.mˈ.ˈu	["abbr","car"]
בדי.די.טי	badˈej.dˈaj.tˈi	["abbr","chemical"]
בדי.די.טי	bedˈi.dˈaj.tˈi	["abbr","chemical"]
בי.איי	bˈi.ʔˈej	["abbr"]
בל.ס.ד	bˈel.sˈ.dˈ	["abbr","drug"]
ב.מ.וו	vˈ.mˈ.ˈu	["abbr","car"]
ב.מ.וו	vˈ.mˈ.vˈav	["abbr","car"]
ב.מ.י	vˈ.mˈ.jˈ	["abbr"]
בסי.די.רום	basˈi.dˈaj.ʁˈum	["abbr","tech"]
ב.פ	vˈ.fˈ	["abbr"]
ג.ג	ɡˈ.ɡˈ	["abbr"]
ג.ר.נ.י.ת	ɡˈ.ʁˈ.nˈ.jˈ.tˈ	["abbr"]
די.די.טי	dˈaj.dˈaj.tˈi	["abbr","chemical"]
די.וי.די	dˈaj.vˈi.dˈaj	["abbr","tech"]
די.וי.די	dˈi.vˈi.dˈaj	["abbr","tech"]
האו.קיי	haʔˈo.kˈej	["abbr","slang"]
האי.טי	haʔˈi.tˈi	["abbr","tech"]
האס.או.אס	haʔˈas.ʔˈo.ʔˈes	["abbr"]
האס.אם	haʔˈas	["abbr"]
האס.אם.אס	haʔˈas	["abbr","textmessage"]
האס.אס	haʔˈas	["abbr"]
הב.מ.וו	hˈav.mˈ.ˈu	["abbr","car"]
הנ.ק.ו.ד	hˈan.kˈ.vˈ.dˈ	["abbr"]
הפ.פ.או	hˈaf.fˈ.ʔˈo	["abbr"]
הק.ג.ב	hˈak.ɡˈ.vˈ	["abbr","org"]
הש.ג	hˈaʃ.ɡˈ	["abbr"]
וא.ב	vˈe.vˈ	["abbr"]
ואס.אם	veʔˈas	["abbr"]
ואס.אם.אסים	veʔˈas	["abbr"]
וב.מ.וו	ˈuv.mˈ.vˈav	["abbr","car"]
ובמ.י	ˈuvm.jˈ	["abbr"]
והאס.אס	vehaʔˈas.ʔˈes	["abbr"]
ומ.י	ˈum.jˈ	["abbr"]
ושהאס.אם	veʃehaʔˈas.ʔˈem	["abbr"]
טי.די.סיקס	tˈi.dˈaj.sˈeks	["abbr"]
טי.וי	tˈi.vˈi	["abbr","tv"]
ט.נ.ט	tˈ.nˈ.tˈ	["abbr","chemical"]
י.ב.מ	jˈ.vˈ.mˈ	["abbr","company"]
י.ל	jˈ.lˈ	["abbr"]
כא.ת	χˈ.tˈ	["abbr"]
ל.א	lˈ.ʔˈ	["abbr"]
לא.ד	lˈo.dˈ	["abbr"]
לאס.אם	lˈas.ʔˈem	["abbr"]
לבי.איי	libˈi.ʔˈej	["abbr"]
למ.י	lˈem.jˈ	["abbr"]
מא.ב	mˈa.vˈ	["abbr"]
מאיי.די.בי	meʔijˈej.dˈaj.bˈi	["abbr","company"]
מהאס.אם	mehaʔˈas.ʔˈem	["abbr"]
מ.י	mˈ.jˈ	["abbr"]
מ.מ.י	mˈ.mˈ.jˈ	["abbr"]
מ.מ.מ	mˈ.mˈ.mˈ	["abbr"]
מ.מ.ס.י	mˈ.mˈ.sˈ.jˈ	["abbr"]
נ.ת.ק	nˈ.tˈ.kˈ	["abbr"]
סי.טי	sˈi.tˈi	["abbr","scan"]
סי.פי	sˈi.pˈi	["abbr"]
פ.א	fˈ.ʔˈ	["abbr"]
צ.ד	tsˈ.dˈ	["abbr"]
ק.א.ל	kˈ.ʔˈ.lˈ	["abbr"]
ש.א.ם	ʃˈ.ʔˈ.mˈi	["abbr"]
ש.ב	ʃˈ.vˈ	["abbr"]
ש.פ.ר	ʃˈ.fˈ.ʁˈ	["abbr"]
ש.ק	ʃˈ.kˈ	["abbr"]
או.קיי	ʔˈo.kˈej	["abbr","ok"]
ת.י.מ	tˈ.jˈ.mˈ	["abbr"]
האס.אם.אס	haʔˈas.ʔˈem.ʔˈes	["abbr","sms"]
האס.אס	haʔˈas.ʔˈes	["abbr"]
אי.טי	ʔˈi.tˈi	["abbr"]
ואס.אם	veʔˈas.ʔˈem	["abbr"]
שמי.וי.די	ʃmˈi.vˈi.dˈaj	["abbr"]
א.מ.ס	ʔˈ.mˈ.sˈ
א.מ.ת	ʔˈ.mˈ.tˈ
באס.אם.אס	baʔˈas.ʔˈem.ʔˈes
באס.אם.אס	beʔˈas.ʔˈem.ʔˈes
