a	aː
a	ɑ
aa	ɔ
aaa	auː
aah	au̯
aarfy	auːrfɪ
aaron	ɔɪːrɔːn
aarons	auːrɔns
ab	ɑːp
abbadís	ˈapːaˌtis
abbadísin	apatiːsɪn
abbast	apast
abbast	ɑbːast
abbađist	ɑːbaːðɪst
abbey	ɛːpɪ
abbie	abɪ
abbott	ɔbɔt
abby	ɑbɪ
abc	ɑːp̥s̪t̪
abdul	ˈabːtʰʏl
abe	ɑːpɛ
abel	ɛːpɛl
aberdeen	ˈabɛrdeːn
abernathy	ˈaːpɛrtnatɪ
abigail	ˈabɪɣɛɪl
abilene	ˈaːpɪlɛɪnə
abin	ˈaːpɪn
abis	ˈaːpɪs
able	ɑːplɛ
abner	ˈapn̥ɛr
abra	ɑːbra
abraham	ˈapraːham
abrahams	ˈaːpraːhams
abramowitz	ˈaːpramɔːtɪs
abrams	ˈapraːms
abrego	ˈaprɛɣɔ
absolem	ˈapˌsɔːlɛm
abu	ɑːpuː
abyzou	ɑːbɪtsou
acapulco	ˈaːkaˌpʰʏl̥kɔ
accio	atʃɪo
ace	aiːtʃ
ackerman	ɔkʰɛrman
acotæknival	aːkoutaihknɪval
action	ɛɣʃʏːn
ad	ɔːð
ada	ɑːða
adam	aːtam
adam	ˈaːtaːm
adams	aːtams
adams	ˈaːtaːms
adapted	ˈaːtpɛːt
adda	ata
adda	ɑːða
adder	ˈaːðɛr
addi	atɪ
addi	ɑːðɪ
addy	ɔːɪ
adeins	ˈaːdaintʰs
adela	ˈaːðɛla
adele	ˈaːðɛlɛ
adhemar	ˈaːðhɛːmar
adina	ˈaːdɪna
adios	ˈaːtɪɔːs
adiķs	ˈaːtɪks
adler	ˈatlɛr
adm	ɑːm
adolf	aːtɔlv
adolf	ˈatɔl̥f
adolfs	aːtɔls
adolfsson	aːtɔlfsɔːn
adonis	ˈaːdɔːnɪs
adrenalín	aːtrɛnaliːn
adrenalín	ˈaːdrɛnːalɪn
adrenalíniđ	ˈadrɛnːalɪnɪð
adrenalínpenna	aːtrɛnalinpɛna
adrian	ˈaːtɾɪan
adsl	atjɛːɛsɛtl̥
ae	ai
aesir	ai̯sɪr
aetla	ai̯tla
aetladi	ɛɪ̯tlaɪ̯ðɪ
aetlaoi	ai̯tloi̯
aetlar	ɛɮtar
aetlardu	ɛɪ̯ðl̥aɹ̥tʏ
