abaga	ʔʌbagʌ
abaka	ʔabʌkʌ
abakadhan	ʔʌbʌkʌd̪han̪
abaniko	ʔʌbʌn̪ikɔ
abapo	ʔʌbapɔ
abayon	ʔʌbajɔn̪
abello	ʔʌbil̪jɔ
aber	ʔʌbiɾ̪
aberiya	ʔʌbɪɾ̪ja
abesamis	ʔʌbɪs̪amɪs̪
abilidad	ʔʌbɪl̪ɪd̪ad̪
abiso	ʔʌbis̪ɔ
abito	ʔabɪt̪o
abli	ʔʌbl̪i
abo	ʔʌbo
abogado	ʔʌbɔgad̪ɔ
abogago	ʔʌbɔgagɔ
abogasiya	ʔʌbɔgʌs̪iʌ
abohan	ʔʌbohʌn̪
abohon	ʔʌbohɔn̪
abokado	ʔʌbɔkad̪ɔ
abono	ʔʌbon̪ɔ
abrebisyon	ʔʌbɾ̪ɪbis̪jɔn̪
abri	ʔʌbɾ̪i
abrigo	ʔʌbɾ̪igɔ
abril	ʔʌbɾ̪il̪
absolusyon	ʔʌbs̪ɔl̪ʊs̪jon̪
absuwelto	ʔʌbs̪wil̪t̪ɔ
aburido	ʔʌbʊɾ̪id̪ɔ
abutra	ʔʌbut̪ɾ̪ʌ
abyan	ʔabjʌn̪
abyerto	ʔʌbjiɾ̪t̪ɔ
abyogan	ʔʌbjogʌn̪
abyon	ʔʌbjon̪
acebedo	ʔʌs̪ɪbid̪ɔ
adan	ʔʌd̪an̪
adbentista	ʔʌd̪bɪn̪t̪is̪t̪ʌ
adbiyento	ʔʌd̪bjin̪t̪ɔ
adelantado	ʔʌd̪ɪl̪ʌn̪t̪ad̪ɔ
adelpa	ʔʌd̪il̪pʌ
adlaw	ʔad̪l̪aʊ̯
adlawan	ʔʌd̪l̪awʌn̪
administrador	ʔʌd̪mɪn̪ɪs̪t̪ɾ̪ʌd̪oɾ̪
administrasiyon	ʔʌd̪mɪn̪ɪs̪t̪ɾ̪ʌs̪jon̪
administratibo	ʔʌd̪mɪn̪ɪs̪t̪ɾ̪ʌt̪ibɔ
adres	ʔad̪ɾ̪ɪs̪
adto	ʔʌd̪t̪o
aduna	ʔʌd̪un̪ʌ
adunahan	ʔʌd̪ʊn̪ahʌn̪
adunay	ʔʌd̪un̪aɪ̯
agdao	ʔʌgd̪aʊ̯
aghop	ʔʌghop
agigising	ʔʌgɪgis̪ɪŋ
agila	ʔagɪl̪ʌ
agosto	ʔʌgos̪t̪ɔ
agridulse	ʔʌgɾ̪ɪd̪ul̪s̪ɪ
aguho	ʔʌguhɔʔ
aguilar	ʔʌgɪl̪aɾ̪
ahedres	ʔʌhɪd̪ɾ̪is̪
ahensiya	ʔʌhin̪s̪ja
ahente	ʔʌhin̪t̪ɪ
aho	ʔʌho
ahos	ʔahɔs̪
ajaw	ʔʌdʒaʊ̯
akademiya	ʔʌkʌd̪imjʌ
aklas	ʔʌkl̪as̪
ako	ʔʌho
ako	ʔʌko
aksidente	ʔʌks̪ɪd̪in̪t̪ɪ
aksiyon	ʔʌks̪jon̪
aksyon	ʔʌks̪jon̪
aktibidades	ʔʌkt̪ɪbɪd̪ad̪ɪs̪
akurdiyon	ʔʌkʊɾ̪d̪jon̪
akusar	ʔʌkʊs̪aɾ̪
akusasyon	ʔʌkʊs̪ʌs̪jon̪
alagad	ʔʌl̪agʌd̪
alagad	ʔʌl̪ʌgad̪
alahas	ʔʌl̪ahʌs̪
alahero	ʔʌl̪ʌhiɾ̪ɔ
alak	ʔal̪ʌk
alakaak	ʔʌl̪ʌkaʔʌk
alamag	ʔʌl̪amʌg
alambre	ʔʌl̪ambɾ̪ɪ
alang	ʔal̪ʌŋ
alangilan	ʔʌl̪ʌŋil̪ʌn̪
alarma	ʔʌl̪aɾ̪mʌ
alat	ʔal̪ʌt̪
alat	ʔʌl̪at̪
albay	ʔʌl̪baɪ̯
alcoy	ʔʌl̪koj
aldeguer	ʔʌl̪d̪ɪgiɾ̪
alegasyon	ʔʌl̪ɪgʌs̪jon̪
alegoriya	ʔʌl̪ɪgɔɾ̪iʌ
alegre	ʔʌl̪igɾ̪ɪ
aleluya	ʔʌl̪ɪl̪ujʌ
alfonso	ʔʌl̪pon̪s̪ɔ
alibangbang	ʔʌl̪ɪbʌŋbaŋ
alibyo	ʔʌl̪ibjɔ
aligi	ʔʌl̪igɪ
alikate	ʔʌl̪ɪkat̪ɪ
alimango	ʔʌl̪ɪmaŋɔ
alimasag	ʔʌl̪ɪmas̪ʌg
alimpatakan	ʔʌl̪ɪmpʌt̪akʌn̪
alimpulos	ʔʌjɪmpujɔs̪
alimpulos	ʔʌl̪ɪmpos̪
alimpulos	ʔʌl̪ɪmpudʒɔs̪
alimpulos	ʔʌl̪ɪmpul̪ɔs̪
alimyon	ʔʌl̪ɪmjon̪
alindahaw	ʔʌl̪ɪn̪d̪ahaʊ̯
alindanaw	ʔʌl̪ɪn̪d̪an̪aʊ̯
alingagngag	ɐlɪŋʌgŋʌg
alkalde	ʔʌl̪kal̪d̪ɪ
almirante	ʔʌl̪mɪɾ̪an̪t̪ɪ
almirol	ʔʌl̪mɪɾ̪ol̪
almoranas	ʔʌl̪mɔɾ̪an̪ʌs̪
alpa	ʔal̪pʌ
alpabeto	ʔʌl̪pʌbit̪ɔ
alpombra	ʔʌl̪pombɾ̪ʌ
alsa	ʔʌl̪s̪a
alvarado	ʔʌl̪bʌɾ̪ad̪ɔ
amag	ʔamʌg
amahan	ʔʌmʌhan̪
amaon	ʔʌmʌʔon̪
amapola	ʔʌmʌpol̪ʌ
amarilyo	ʔʌmʌɾ̪il̪jɔ
ambulansiya	ʔʌmbʊl̪an̪s̪jʌ
amendar	ʔʌmɪn̪d̪aɾ̪
amerikano	ʔʌmɪɾ̪ɪkan̪ɔ
amigo	ʔʌmigɔ
amihan	ʔʌmihʌn̪
amihanan	ʔʌmɪhan̪ʌn̪
amnestiya	ʔʌmn̪ɪs̪t̪iʌ
amonya	ʔʌmon̪jʌ
ampaw	ʔampaʊ̯
